Test Time: 2026-03-13 13:02:42 ~ 2026-03-13 13:03:20 (Duration: 38.9s)
refRPM,RPM,refCCR,State
4000.0,3901.6,4490.0,STDY
4000.0,3904.2,4493.0,STDY
4000.0,3905.5,4492.0,STDY
4000.0,3906.6,4495.0,STDY
4000.0,3908.3,4495.0,STDY
4000.0,3909.4,4496.0,STDY
4000.0,3911.4,4495.0,STDY
4000.0,3912.1,4497.0,STDY
4000.0,3914.1,4500.0,STDY
4000.0,3914.3,4501.0,STDY
4000.0,3916.3,4505.0,STDY
4000.0,3917.9,4506.0,STDY
4000.0,3917.8,4503.0,STDY
4000.0,3919.8,4505.0,STDY
4000.0,3921.0,4506.0,STDY
4000.0,3921.6,4510.0,STDY
4000.0,3923.2,4506.0,STDY
4000.0,3924.0,4508.0,STDY
4000.0,3926.1,4511.0,STDY
4000.0,3925.9,4510.0,STDY
4000.0,3927.9,4514.0,STDY
4000.0,3929.2,4511.0,STDY
4000.0,3930.2,4515.0,STDY
4000.0,3931.2,4515.0,STDY
4000.0,3931.6,4513.0,STDY
4000.0,3933.8,4517.0,STDY
4000.0,3933.6,4515.0,STDY
4000.0,3933.6,4519.0,STDY
4000.0,3935.4,4519.0,STDY
4000.0,3935.7,4523.0,STDY
4000.0,3937.3,4523.0,STDY
4000.0,3939.1,4523.0,STDY
4000.0,3939.8,4524.0,STDY
4000.0,3939.7,4526.0,STDY
4000.0,3940.9,4529.0,STDY
4000.0,3941.6,4529.0,STDY
4000.0,3941.9,4532.0,STDY
4000.0,3942.7,4529.0,STDY
4000.0,3944.0,4531.0,STDY
4000.0,3945.5,4530.0,STDY
4000.0,3945.5,4528.0,STDY
4000.0,3945.9,4536.0,STDY
4000.0,3946.9,4533.0,STDY
4000.0,3946.9,4535.0,STDY
4000.0,3949.6,4535.0,STDY
4000.0,3950.1,4537.0,STDY
4000.0,3950.8,4538.0,STDY
4000.0,3951.8,4534.0,STDY
4000.0,3952.8,4538.0,STDY
4000.0,3952.6,4537.0,STDY
4000.0,3952.7,4540.0,STDY
4000.0,3954.4,4540.0,STDY
4000.0,3954.7,4541.0,STDY
4000.0,3956.3,4537.0,STDY
4000.0,3956.4,4542.0,STDY
4000.0,3956.2,4541.0,STDY
4000.0,3957.1,4541.0,STDY
4000.0,3958.1,4543.0,STDY
4000.0,3958.8,4543.0,STDY
4000.0,3958.8,4542.0,STDY
4000.0,3960.7,4544.0,STDY
4000.0,3961.6,4543.0,STDY
4000.0,3962.8,4542.0,STDY
4000.0,3963.1,4544.0,STDY
4000.0,3962.7,4543.0,STDY
4000.0,3963.0,4543.0,STDY
4000.0,3963.9,4543.0,STDY
4000.0,3963.6,4548.0,STDY
4000.0,3964.0,4546.0,STDY
4000.0,3964.9,4548.0,STDY
4000.0,3965.5,4547.0,STDY
4000.0,3965.5,4548.0,STDY
4000.0,3966.1,4549.0,STDY
4000.0,3966.5,4548.0,STDY
4000.0,3967.4,4552.0,STDY
4000.0,3968.4,4549.0,STDY
4000.0,3969.2,4550.0,STDY
4000.0,3969.6,4550.0,STDY
4000.0,3970.0,4553.0,STDY
4000.0,3970.7,4553.0,STDY
4000.0,3970.6,4551.0,STDY
4000.0,3970.5,4555.0,STDY
4000.0,3970.7,4557.0,STDY
4000.0,3971.2,4553.0,STDY
4000.0,3972.0,4555.0,STDY
4000.0,3972.0,4555.0,STDY
4000.0,3972.4,4554.0,STDY
4000.0,3973.6,4555.0,STDY
4000.0,3973.7,4556.0,STDY
4000.0,3974.9,4555.0,STDY
4000.0,3975.1,4555.0,STDY
4000.0,3974.5,4551.0,STDY
4000.0,3975.5,4556.0,STDY
4000.0,3975.1,4556.0,STDY
4000.0,3975.5,4558.0,STDY
4000.0,3975.3,4556.0,STDY
4000.0,3976.5,4556.0,STDY
4000.0,3977.2,4558.0,STDY
4000.0,3976.4,4556.0,STDY
4000.0,3978.4,4557.0,STDY
4000.0,3978.8,4557.0,STDY
4000.0,3978.1,4558.0,STDY
4000.0,3979.5,4559.0,STDY
4000.0,3978.9,4559.0,STDY
4000.0,3979.4,4558.0,STDY
4000.0,3979.2,4561.0,STDY
4000.0,3979.4,4561.0,STDY
4000.0,3979.0,4565.0,STDY
4000.0,3979.0,4563.0,STDY
4000.0,3979.5,4562.0,STDY
